ID,n,Result vector,Average Runtime [ms],Epsilon,Number of unsatisfied clauses
299,20,"1 0 1 1 0 1 0 0 0 1 0 1 1 1 1 1 0 1 0 1 ",83.18564,0,0
3,20,"1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 ",80.40438,0,0
30,20,"1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 ",82.44112,0,0
300,20,"1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 ",82.91086,0,0
301,20,"1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 ",77.57826,0,0
302,20,"1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 ",82.73352,0,0
303,20,"1 0 0 1 1 0 0 0 1 1 1 1 1 0 1 0 1 1 1 1 ",82.96618,0,0
304,20,"1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 ",84.89748,0,0
305,20,"1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 ",78.1346,0,0
306,20,"0 1 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 0 ",85.16445999999999,0,0
307,20,"1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 ",78.925,0,0
308,20,"1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 1 0 1 ",80.13918,0,0
309,20,"1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 0 ",81.92906,0,0
31,20,"0 0 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 ",82.22116,0,0
310,20,"1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 ",81.86518,0,0
311,20,"1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 ",80.83272,0,0
312,20,"1 1 1 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 ",85.91198,0,0
313,20,"1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 0 ",87.80688,0,0
314,20,"1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 ",84.74778,0,0
315,20,"1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 ",81.96898,0,0
316,20,"1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 0 0 1 ",90.34298,0,0
317,20,"1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 0 1 1 1 0 ",84.27676,0,0
318,20,"1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 ",82.85698,0,0
