ID,n,Result vector,Average Runtime [ms],Epsilon,Number of unsatisfied clauses
256,20,"1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 ",88.1147,0,0
257,20,"1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 ",82.95457999999999,0,0
258,20,"1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 ",86.71046,0,0
259,20,"1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 ",85.90686,0,0
26,20,"1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 0 ",75.49938,0,0
260,20,"1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 ",79.23012,0,0
261,20,"0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 ",82.56966,0,0
262,20,"1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0 0 1 ",77.3218,0,0
263,20,"0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 ",79.30794,0,0
264,20,"0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 ",76.27362000000001,0,0
265,20,"0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",84.14806,0,0
266,20,"1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 ",86.01238,0,0
267,20,"1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 ",86.64604,0,0
268,20,"1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 ",84.07974,0,0
269,20,"1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 1 ",78.82794,0,0
27,20,"1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 ",79.57122000000001,0.021141357719898224,0
270,20,"0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 ",85.28298,0,0
271,20,"0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 ",80.95504,0,0
272,20,"1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 ",78.01398,0,0
273,20,"1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 ",79.85983999999999,0,0
274,20,"1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 ",83.36332,0,0
275,20,"1 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 ",77.68532,0,0
276,20,"0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 ",80.34236,0,0
277,20,"1 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 1 ",78.57424,0,0
278,20,"0 0 1 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 ",76.50592,0,0
279,20,"1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 ",86.76180000000001,0,0
28,20,"1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 0 1 0 1 1 ",78.56176,0,0
280,20,"1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 ",83.74764,0,0
281,20,"1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 ",87.96612,0.013241301290690899,0
282,20,"0 1 1 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 ",82.2203,0,0
283,20,"1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 ",82.86198,0.0017875382909551263,0
284,20,"1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 ",92.54432,0,0
285,20,"1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 ",82.97424,0,0
286,20,"0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 ",78.79996,0,0
287,20,"0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 ",84.66842,0,0
288,20,"1 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 ",79.8625,0,0
289,20,"1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 ",77.31616,0,0
29,20,"1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 0 0 1 1 ",85.5727,0,0
290,20,"1 1 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0 1 1 1 ",83.84432000000001,0,0
291,20,"1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ",94.037,0,0
292,20,"0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 ",83.11768,0.001859267707914114,0
293,20,"0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 ",79.83171999999999,0.020021500065922737,0
294,20,"1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 ",86.02476,0,0
295,20,"1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 0 ",80.25807999999999,0,0
296,20,"0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 ",84.81696,0,0
297,20,"1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 ",83.06162,0,0
298,20,"1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 ",85.77604,0,0
299,20,"1 0 1 1 0 1 0 0 0 1 0 1 1 1 1 1 0 1 0 1 ",79.8126,0,0
3,20,"1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 ",87.14108,0,0
30,20,"1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 ",89.84222,0,0
300,20,"1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 ",90.74424,0,0
301,20,"1 1 0 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 ",84.25836000000001,0,0
302,20,"1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 ",90.66616,0,0
303,20,"1 0 0 1 1 0 0 0 1 1 1 1 1 0 1 0 1 1 1 1 ",86.65492,0,0
304,20,"1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 ",83.74166,0,0
305,20,"1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 ",84.35356,0,0
306,20,"0 1 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 0 ",81.23060000000001,0,0
307,20,"1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 ",85.85988,0,0
308,20,"1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 1 0 1 ",77.63239999999999,0,0
309,20,"1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 0 ",81.97546,0,0
31,20,"0 0 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 ",78.05344,0,0
310,20,"1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 ",84.2808,0,0
311,20,"1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 ",89.96688,0,0
